prb_id,timestamp,resultset.result.rt,asn
11723,2019-10-05 22:39:25,37.324,34362.0
11723,2019-10-05 22:39:25,37.128,34362.0
12804,2019-10-05 22:39:11,163.547,52362.0
12804,2019-10-05 22:39:11,180.847,52362.0
14256,2019-10-05 22:39:28,15.563,33915.0
14256,2019-10-05 22:39:28,14.234,33915.0
14256,2019-10-05 22:39:28,19.773,33915.0
14831,2019-10-05 22:39:51,1086.922,4713.0
14831,2019-10-05 22:39:51,959.745,4713.0
14950,2019-10-05 22:39:06,318.101,3491.0
14950,2019-10-05 22:39:06,242.953,3491.0
14950,2019-10-05 22:39:06,236.1,3491.0
16297,2019-10-05 22:39:33,20.086,60351.0
16297,2019-10-05 22:39:33,14.09,60351.0
16297,2019-10-05 22:39:33,34.316,60351.0
17442,2019-10-05 22:39:00,24.081,6908.0
17442,2019-10-05 22:39:00,17.74,6908.0
17442,2019-10-05 22:39:00,13.12,6908.0
17643,2019-10-05 22:39:30,224.125,224.0
17643,2019-10-05 22:39:30,189.216,224.0
19809,2019-10-05 22:39:41,11.352,21232.0
19809,2019-10-05 22:39:41,4.214,21232.0
21300,2019-10-05 22:39:30,32.139,8764.0
21806,2019-10-05 22:39:16,192.615,5650.0
22201,2019-10-05 22:39:52,194.426,23756.0
22201,2019-10-05 22:39:52,1.098,23756.0
22201,2019-10-05 22:39:52,192.168,23756.0
24084,2019-10-05 22:39:41,32.719,29066.0
24084,2019-10-05 22:39:41,0.873,29066.0
24188,2019-10-05 22:39:22,128.261,13237.0
24750,2019-10-05 22:39:13,29.852,8670.0
24750,2019-10-05 22:39:13,30.074,8670.0
24750,2019-10-05 22:39:13,42.915,8670.0
25339,2019-10-05 22:39:38,32.596,28972.0
25339,2019-10-05 22:39:38,42.41,28972.0
26175,2019-10-05 22:39:28,110.062,719.0
26175,2019-10-05 22:39:28,135.528,719.0
26805,2019-10-05 22:39:21,272.6,2516.0
26957,2019-10-05 22:39:21,123.667,1759.0
2713,2019-10-05 22:39:39,43.259,60706.0
27903,2019-10-05 22:39:27,41.526,8248.0
27903,2019-10-05 22:39:27,86.379,8248.0
28991,2019-10-05 22:39:58,64.901,3320.0
30556,2019-10-05 22:39:39,62.794,64444.0
30556,2019-10-05 22:39:39,10.448,64444.0
30556,2019-10-05 22:39:39,24.035,64444.0
32130,2019-10-05 22:39:23,56.157,41164.0
32214,2019-10-05 22:39:38,73.459,20712.0
32214,2019-10-05 22:39:38,1.099,20712.0
32529,2019-10-05 22:39:03,21.19,12322.0
32529,2019-10-05 22:39:03,3.625,12322.0
32633,2019-10-05 22:39:11,39.493,203687.0
3264,2019-10-05 22:39:58,79.256,3265.0
33162,2019-10-05 22:39:40,877.343,264787.0
33162,2019-10-05 22:39:40,1049.273,264787.0
33643,2019-10-05 22:39:56,612.006,393522.0
33643,2019-10-05 22:39:56,0.668,393522.0
33643,2019-10-05 22:39:56,0.882,393522.0
33940,2019-10-05 22:39:39,91.024,6830.0
33940,2019-10-05 22:39:39,95.597,6830.0
34941,2019-10-05 22:39:46,36.795,35540.0
34941,2019-10-05 22:39:46,36.402,35540.0
34941,2019-10-05 22:39:46,36.02,35540.0
34944,2019-10-05 22:39:30,34.204,12322.0
34944,2019-10-05 22:39:30,0.589,12322.0
