ASN,Users (est.),CC
16276,155219,US
18419,155204,TW
42841,155193,SK
37006,155009,RW
9471,154903,PF
16509,154834,SG
43936,154605,RU
37524,154528,GM
207786,154481,IQ
53059,154454,BR
13046,154334,HR
55944,154246,MV
12301,154083,HU
3194,153840,IQ
12709,153787,MT
37148,153508,NG
41843,153448,RU
200865,153045,IQ
42082,152841,GE
36924,152782,RW
4662,152706,TW
211341,152639,IQ
40788,152613,CA
212460,152330,IQ
139759,152247,FM
55805,152134,MN
52871,151903,BR
38067,151879,BD
8100,151839,US
16814,151745,AR
45905,151618,BD
395954,151364,CN
269832,151056,VE
262459,151042,BR
135247,150943,IN
9009,150784,PL
201411,150778,TR
31404,150722,GB
138965,150669,PH
199524,150330,US
30844,150197,ZM
55862,150142,IN
28300,149956,BR
139879,149891,PK
8445,149831,AT
38077,149696,TL
263980,149629,BR
37229,149393,TG
43939,149152,PL
27833,148903,AR
51440,148849,PS
28331,148716,BR
37053,148519,ZA
17839,148336,KR
267749,148293,PE
28665,148216,BR
3215,148192,RE
43733,148084,AM
22646,147809,US
6677,147290,IS
138089,147154,ID
44944,146899,BE
11814,146721,CA
48146,146341,ES
55960,146201,CN
47895,146175,RU
262659,145735,BR
9009,145667,SE
53062,145511,BR
141342,145137,PK
9614,145128,JP
262532,145115,BR
133606,144587,TL
201776,144449,RU
28005,143908,PA
132976,143823,IN
9845,143653,KR
23959,143592,JP
140485,143430,CN
327901,143413,ZA
50973,143342,AL
55685,143194,ID
135589,142936,MM
262509,142909,BR
328638,142827,ZA
50498,142746,RU
21565,142696,US
26827,142379,US
15542,142224,NL
47139,142175,TJ
135356,142171,CN
24323,141858,BD
50597,141800,IQ
210278,141792,IT
135407,141767,PK
23089,141504,US
48206,141358,LB
35244,140999,DE
56300,140732,SG
17306,140139,US
16629,140114,CL
202940,139723,IL
262983,139549,BR
51737,139263,PS
49392,138618,RU
52657,138602,BR
134714,137859,MM
