ASN,Users (est.),CC
14061,497299,IN
13280,495060,IE
3255,493814,UA
45194,492992,IN
31615,492755,NL
16116,492232,IL
9790,490402,NZ
262928,489104,CO
44143,487605,RS
12297,486799,AM
328297,486279,SL
51375,484116,BH
3549,482266,CO
28812,481336,RU
1547,475088,MD
13335,472591,FR
29555,472455,KZ
31721,470340,AZ
14988,469716,BW
19182,469281,BR
6866,467473,CY
29695,466708,NO
37136,465772,BJ
134760,463181,CN
39232,462791,AZ
15582,462583,RU
51407,462579,PS
48728,461161,QA
136190,459205,CN
11232,458878,US
12716,456825,BG
13353,456113,BR
37196,456008,SN
28036,453543,NI
41032,452983,IQ
134674,451376,IN
58678,450427,IN
21042,445830,MG
62240,445538,JP
27672,444820,MX
131591,444266,TW
134419,442184,CN
29244,440418,BG
35913,439808,US
44034,439150,SE
136480,438679,MM
2110,438387,IE
20860,436292,GB
20057,434866,PR
24722,434736,TJ
45184,433224,IN
27665,432251,TT
12810,431652,HR
27800,431490,TT
29066,431255,DE
51684,430968,IQ
45925,426036,BD
18081,425406,JP
17924,424735,HK
14061,423825,SG
37009,421940,
12578,421236,LV
7122,417542,CA
36937,415706,ZA
37094,411706,IT
134026,411431,IN
23655,407687,NZ
137692,406402,CN
59588,406009,IQ
8075,405865,US
37284,403261,LY
34557,403236,TJ
55352,403020,IN
18144,401841,JP
6181,400868,US
4725,399372,JP
133720,397042,IN
28220,394629,BR
36924,394209,GA
59625,392919,IQ
45775,391803,IN
27364,391720,US
9354,391543,JP
131596,390241,TW
141771,389877,CN
49800,389866,AM
13213,389860,GB
37612,388969,GN
12876,387541,NL
28146,385482,BR
7155,385210,US
60294,384640,DE
29518,383385,SE
39010,382521,LB
137697,382298,CN
36924,382200,TG
9009,380750,CH
38999,379288,LB
13124,379187,BG
37057,378620,LS
38226,378485,IN
44869,377493,DK
12764,376645,KG
7524,373609,JP
57513,372302,LB
3326,371466,UA
17885,370962,ID
19114,370502,EC
12365,370348,UZ
24550,369971,NP
28186,369475,BR
21246,369414,AL
27984,369299,AR
26464,369057,US
38565,365574,NP
31200,364106,RU
15924,362237,TR
38264,362094,PK
24164,360999,TW
28598,359796,BR
30844,359030,ZW
46844,358816,CN
5578,358463,SK
134238,358319,CN
27839,357686,BO
20875,357646,BA
28512,356998,MX
135405,356154,MM
11664,355625,PY
62240,355258,US
16509,354096,IN
47956,353721,IL
33567,352353,LS
2586,352216,EE
37124,350787,RW
4780,349848,TW
132480,348861,PK
204170,348836,OM
25454,347225,MD
9931,345094,TH
37341,344606,GH
134033,343301,IN
59045,342168,CN
63949,340215,AU
3741,340186,ZA
36599,339322,JP
60781,338598,NL
45804,338288,IN
27889,338027,VE
140315,337819,CN
41164,337285,NO
9595,336661,JP
2907,335928,JP
328200,335916,LY
52468,334728,GT
132045,333711,LK
197830,332411,AZ
37680,331763,ZA
57218,330836,IR
28201,330523,BR
44087,330413,BY
2914,329834,JP
53037,329616,BR
3308,329478,DK
13335,329329,SG
24554,329164,IN
1257,328076,LT
28202,327310,BR
6830,323317,SK
45011,322911,SE
11404,322554,US
25369,321728,GB
21450,321556,IL
25117,321232,FR
24921,320802,LV
42682,320110,RU
263327,319760,BR
11562,319422,VE
9498,319139,IN
18002,318263,IN
21283,318039,SI
31452,316948,BH
48492,316764,IQ
54614,316538,CA
14061,316495,NL
28536,316183,MX
14754,315611,CR
42313,315584,AL
262589,314618,CO
29049,312606,AZ
28555,312296,MX
262468,312170,BR
55915,311383,NP
12946,310881,ES
12390,310560,GB
32181,310018,US
33788,309918,SD
37517,309803,CV
44489,309726,CZ
10299,309659,CO
30600,309614,US
31148,309422,UA
28668,309292,BR
262753,308247,BR
6939,308045,US
13335,307427,IN
140314,305640,CN
44034,305591,DK
205473,303006,IQ
9009,302906,ES
10013,302721,JP
18024,302291,BT
31499,301108,RU
15435,300331,NL
37385,299847,NE
328727,299250,UG
27983,299213,AR
11338,298529,BR
206119,297272,TR
27775,297045,SR
14080,296578,CO
8448,296001,HU
2609,295645,TN
10094,295613,BN
41798,295602,KZ
40021,295468,US
35197,294483,LB
56262,293997,PH
18678,293729,CO
45754,292188,PH
34779,290614,SI
42863,290123,PT
10118,289394,HK
43824,288382,LB
42116,287690,RU
34533,285631,RU
38442,284971,FJ
51852,284674,CH
28580,283725,BR
12768,282760,RU
132447,281976,LK
58504,281788,NP
29256,280921,CZ
63969,280891,BD
12361,280887,GR
48695,280596,SA
17079,280055,SV
48887,279076,TJ
49724,278205,RU
13127,277842,NL
9341,277494,ID
39608,277095,UA
57354,276520,RU
138950,276318,CN
17470,275608,LK
37094,274105,LR
201167,273737,AZ
20676,273633,DE
203217,273271,IQ
34718,272048,UZ
28534,271506,MX
18822,270505,CL
21127,269437,RU
44391,269218,RU
28530,268668,MX
58689,268139,BD
205889,267458,IQ
29066,267099,FR
28613,266732,BR
22616,266568,US
14709,266274,PA
28368,265392,BR
55947,264968,IN
137166,264692,IN
17698,263767,JP
60258,263600,AZ
37620,263261,CM
197882,262970,IQ
62044,262567,AT
16509,262403,CN
39927,260825,RU
15480,260759,NL
29580,260262,BG
42779,259765,AZ
6876,259339,UA
56478,259098,GB
138296,258958,IN
28024,258204,BO
133334,258175,PH
31214,256955,RU
132770,256735,IN
39824,256174,KZ
12997,256105,KG
51604,256082,RU
37081,255996,AO
43317,255239,RU
197288,254904,DK
51645,254834,RU
133648,254505,IN
19863,254180,GY
133623,254110,PH
22869,253645,GT
36866,253328,KE
15146,253161,BS
264628,252925,VE
136119,252764,ID
135872,252477,IN
63949,252315,IN
36923,252063,NG
212238,252002,US
27017,251166,US
37508,250700,MR
63949,250062,GB
25620,249985,BO
262191,248249,CO
132453,248244,IN
39642,248224,DK
14618,248067,US
56099,247907,PH
45143,247826,SG
37014,247600,BW
28952,247465,SK
15377,247340,UA
1257,245981,LV
137453,245233,BD
55850,244962,NZ
13194,243857,LT
34977,243134,ES
265691,242889,PE
265684,242196,GT
43557,241865,DK
24940,241144,FI
37637,240556,NG
9009,239566,CA
43205,239535,BG
15943,239196,DE
29124,237578,RU
37616,237400,GA
46690,236418,US
263073,236316,BR
132148,236032,MM
3265,235660,NL
25369,234844,CH
41937,234686,RS
131285,234324,CN
39435,233959,RU
41704,232960,RU
48161,232621,RO
204317,232489,YE
327952,231501,NG
28753,230641,DE
53813,230295,IN
137449,229962,BD
21183,229896,AL
136515,229654,PH
47139,229528,RU
27668,229197,EC
37682,229146,NG
139007,228981,CN
9009,228380,BE
15399,227622,TZ
37376,227386,SS
31272,227226,UA
141383,227118,CN
4795,226571,ID
140732,226473,PK
132045,226231,IN
36920,225576,NG
263238,224747,EC
63018,224023,US
60068,223966,US
43060,223117,UZ
198484,222822,IL
45814,222803,PK
27866,222745,PY
133676,222662,IN
28270,222576,BR
59164,221957,IN
262673,221334,BR
9370,220802,JP
29170,220533,AL
50543,220386,RU
9009,220204,RO
134375,220197,IN
15994,220019,HR
15751,218868,IE
136093,218125,ID
13156,218014,PT
46562,217928,US
263703,217537,VE
27896,216711,DO
3356,216336,US
6856,216142,RU
48642,215861,RU
61003,215818,DE
44507,215736,RU
23470,214966,US
9009,214920,AT
11272,214909,US
140345,214072,CN
28532,213321,MX
134788,213138,PH
55391,212934,JP
132298,212475,BD
28258,212463,BR
37719,212435,TN
15169,212430,US
42652,212362,DE
10143,212064,AU
16276,211835,SG
133001,211689,IN
28669,211655,BR
7642,211388,MV
11172,211016,MX
262253,210609,PE
30844,210588,KE
6661,209864,LU
211341,209365,IQ
35699,209339,ES
20473,209193,DE
262202,208971,CR
207744,208466,RU
43197,208404,RU
55392,207959,JP
27742,207187,NI
202354,207153,IQ
17529,206339,JP
133275,205005,IN
28531,204923,MX
18734,204699,MX
37309,204616,GM
28048,204138,AR
199731,203375,AZ
262493,203001,BR
31404,202811,ES
41329,202600,RU
203735,202181,IQ
9009,201938,IT
132296,201907,IN
43350,201894,NL
43936,201633,RU
31204,201132,MD
12668,201040,RU
8585,200787,ME
49392,200229,RU
32780,200121,US
36884,199718,MA
35432,199709,CY
37303,199594,MG
12605,199286,AT
20299,198880,HN
327707,198536,RW
9908,197839,HK
10101,197731,BN
14754,196694,PA
23959,196658,JP
28537,196434,MX
16509,196228,DE
15399,195960,UG
133301,195848,IN
29182,195829,RU
17813,193058,IN
20590,192869,UA
37061,192772,KE
53184,192770,BR
28171,192317,BR
13977,191604,US
37063,191550,UG
3491,191460,CN
9351,191182,JP
37410,191165,LR
138346,190531,BD
29310,190391,PS
13037,190369,GB
132220,190301,IN
38511,190231,ID
27843,190171,PE
